open_datetime,close_datetime,close,regime,current_extreme
2023-03-18T00:00:00+00:00,2023-03-18T23:59:59.999000+00:00,26907.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-19T00:00:00+00:00,2023-03-19T23:59:59.999000+00:00,27955.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-20T00:00:00+00:00,2023-03-20T23:59:59.999000+00:00,27704.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-21T00:00:00+00:00,2023-03-21T23:59:59.999000+00:00,28091.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-22T00:00:00+00:00,2023-03-22T23:59:59.999000+00:00,27233.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-23T00:00:00+00:00,2023-03-23T23:59:59.999000+00:00,28284.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-24T00:00:00+00:00,2023-03-24T23:59:59.999000+00:00,27438.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-25T00:00:00+00:00,2023-03-25T23:59:59.999000+00:00,27447.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-26T00:00:00+00:00,2023-03-26T23:59:59.999000+00:00,27954.3,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-27T00:00:00+00:00,2023-03-27T23:59:59.999000+00:00,27112.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-28T00:00:00+00:00,2023-03-28T23:59:59.999000+00:00,27249.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-29T00:00:00+00:00,2023-03-29T23:59:59.999000+00:00,28338.5,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-30T00:00:00+00:00,2023-03-30T23:59:59.999000+00:00,28015.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-03-31T00:00:00+00:00,2023-03-31T23:59:59.999000+00:00,28454.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-01T00:00:00+00:00,2023-04-01T23:59:59.999000+00:00,28443.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-02T00:00:00+00:00,2023-04-02T23:59:59.999000+00:00,28161.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-03T00:00:00+00:00,2023-04-03T23:59:59.999000+00:00,27786.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-04T00:00:00+00:00,2023-04-04T23:59:59.999000+00:00,28155.2,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-05T00:00:00+00:00,2023-04-05T23:59:59.999000+00:00,28154.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-06T00:00:00+00:00,2023-04-06T23:59:59.999000+00:00,28022.8,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-07T00:00:00+00:00,2023-04-07T23:59:59.999000+00:00,27890.7,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-08T00:00:00+00:00,2023-04-08T23:59:59.999000+00:00,27924.9,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-09T00:00:00+00:00,2023-04-09T23:59:59.999000+00:00,28309.4,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-10T00:00:00+00:00,2023-04-10T23:59:59.999000+00:00,29623.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-11T00:00:00+00:00,2023-04-11T23:59:59.999000+00:00,30185.1,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-12T00:00:00+00:00,2023-04-12T23:59:59.999000+00:00,29875.0,bull,2021-11-10T00:00:00+00:00|69198.7
2023-04-13T00:00:00+00:00,2023-04-13T23:59:59.999000+00:00,30362.7,bull,2021-11-10T00:00:00+00:00|69198.7
